index,type
0,Ипотека
1,Кредит
2,Кредит
3,Обслуживание физ. и юр. лиц
4,Кредит
5,Ипотека
6,Вклад
7,Кредит
8,Ипотека
9,Кредит
10,Ипотека
11,Кредит
12,Ипотека
13,Реструктуризация
14,Дебетовая карта
15,Кредит
16,Кредит
17,Кредит
18,Кредит
19,Ипотека
20,Вклад
21,Реструктуризация
22,Кредит
23,Кредит
24,Реструктуризация
25,Кредит
26,Кредит
27,Кредит
28,Ипотека
29,Реструктуризация
30,Бизнес услуги
31,Кредит
32,Кредит
33,Денежные переводы
34,Обслуживание физ. и юр. лиц
35,Реструктуризация
36,Кредит
37,Дебетовая карта
38,Кредит
39,Вклад
40,Дебетовая карта
41,Кредит
42,Кредит
43,Дебетовая карта
44,Кредит
45,Ипотека
46,Кредит
47,Кредит
48,Вклад
49,Ипотека
50,Кредит
51,Ипотека
52,Обслуживание физ. и юр. лиц
53,Денежные переводы
54,Вклад
55,Кредит
56,Кредит
57,Реструктуризация
58,Бизнес услуги
59,Вклад
60,Ипотека
61,Кредит
62,Кредит
63,Кредит
64,Обслуживание физ. и юр. лиц
65,Кредит
66,Вклад
67,Денежные переводы
68,Кредит
69,Дебетовая карта
70,Дебетовая карта
71,Кредит
72,Вклад
73,Кредит
74,Кредит
75,Ипотека
76,Кредит
77,Вклад
78,Кредит
79,Кредит
80,Бизнес услуги
81,Кредит
82,Ипотека
83,Кредит
84,Ипотека
85,Обслуживание физ. и юр. лиц
86,Кредит
87,Кредит
88,Вклад
89,Кредит
90,Кредит
91,Бизнес услуги
92,Бизнес услуги
93,Кредит
94,Вклад
95,Кредит
96,Реструктуризация
97,Вклад
98,Кредит
99,Вклад
100,Кредит
101,Обслуживание физ. и юр. лиц
102,Кредит
103,Кредит
104,Кредит
105,Кредит
106,Кредит
107,Бизнес услуги
108,Бизнес услуги
109,Дебетовая карта
110,Ипотека
111,Кредит
112,Ипотека
113,Ипотека
114,Кредит
115,Кредит
116,Вклад
117,Вклад
118,Дебетовая карта
119,Обслуживание физ. и юр. лиц
120,Бизнес услуги
121,Вклад
122,Кредит
123,Ипотека
124,Ипотека
125,Кредит
126,Кредит
127,Вклад
128,Кредит
129,Кредит
130,Кредит
131,Кредит
132,Ипотека
133,Кредит
134,Ипотека
135,Кредит
136,Вклад
137,Обслуживание физ. и юр. лиц
138,Кредит
139,Дебетовая карта
140,Кредит
141,Обслуживание физ. и юр. лиц
142,Ипотека
143,Ипотека
144,Дебетовая карта
145,Бизнес услуги
146,Дебетовая карта
147,Вклад
148,Вклад
149,Ипотека
150,Реструктуризация
151,Кредит
152,Кредит
153,Дебетовая карта
154,Кредит
155,Бизнес услуги
156,Ипотека
157,Кредит
158,Кредит
159,Вклад
160,Кредит
161,Вклад
162,Ипотека
163,Обслуживание физ. и юр. лиц
164,Вклад
165,Кредит
166,Кредит
167,Ипотека
168,Кредит
169,Кредит
170,Кредит
171,Ипотека
172,Кредит
173,Кредит
174,Ипотека
175,Кредит
176,Кредит
177,Кредит
178,Вклад
179,Дебетовая карта
180,Вклад
181,Вклад
182,Кредит
183,Реструктуризация
184,Обслуживание физ. и юр. лиц
185,Кредит
186,Ипотека
187,Кредит
188,Ипотека
189,Дебетовая карта
190,Обслуживание физ. и юр. лиц
191,Кредит
192,Вклад
193,Вклад
194,Кредит
195,Кредит
196,Бизнес услуги
197,Кредит
198,Кредит
199,Бизнес услуги
200,Реструктуризация
201,Ипотека
202,Кредит
203,Кредит
204,Ипотека
205,Кредит
206,Кредит
207,Обслуживание физ. и юр. лиц
208,Кредит
209,Кредит
210,Бизнес услуги
211,Вклад
212,Кредит
213,Бизнес услуги
214,Вклад
215,Вклад
216,Дебетовая карта
217,Кредит
218,Ипотека
219,Кредит
220,Кредит
221,Обслуживание физ. и юр. лиц
222,Вклад
223,Кредит
224,Кредит
225,Кредит
226,Ипотека
227,Кредит
228,Бизнес услуги
229,Реструктуризация
230,Обслуживание физ. и юр. лиц
231,Кредит
232,Бизнес услуги
233,Вклад
234,Ипотека
235,Кредит
236,Кредит
237,Кредит
238,Кредит
239,Кредит
240,Обслуживание физ. и юр. лиц
241,Вклад
242,Кредит
243,Бизнес услуги
244,Дебетовая карта
245,Ипотека
246,Реструктуризация
247,Кредит
248,Дебетовая карта
249,Кредит
250,Обслуживание физ. и юр. лиц
251,Обслуживание физ. и юр. лиц
252,Кредит
253,Вклад
254,Кредит
255,Ипотека
256,Денежные переводы
257,Кредит
258,Вклад
259,Ипотека
260,Вклад
261,Дебетовая карта
262,Ипотека
263,Вклад
264,Обслуживание физ. и юр. лиц
265,Кредит
266,Кредит
267,Вклад
268,Дебетовая карта
